Data Set, Avg Accuracy, Std. Dev, Optimized Acc, Std. Dev, test Accuracy
Armstrong-2002-v1, 0.918000, 0.027226, 0.906667, 0.049341, 0.950000
Alizadeh-2000-v1, 0.880000, 0.031230, 0.876667, 0.034872, 0.787500
Chowdary-2006, 0.948194, 0.026198, 0.939167, 0.029439, 0.950000
Chen-2002, 0.899667, 0.026101, 0.909381, 0.029034, 0.840000
Bredel-2005, 0.792500, 0.028988, 0.782500, 0.033437, 0.880000
Bittner-2000, 0.733333, 0.051220, 0.736667, 0.075482, 0.714286
Alizadeh-2000-v2, 0.930000, 0.055176, 0.920000, 0.052493, 0.908333
Pomeroy-2002-v1, 0.785000, 0.042637, 0.763333, 0.032203, 0.816667
Armstrong-2002-v2, 0.937667, 0.036853, 0.947667, 0.017642, 0.821429
Khan-2001_database, 0.950714, 0.023058, 0.923095, 0.020173, 0.943750
Nutt-2003-v2, 0.776667, 0.058373, 0.748333, 0.057975, 0.700000
Alizadeh-2000-v3, 0.844000, 0.042999, 0.834000, 0.046236, 0.808333
Nutt-2003-v3, 0.735000, 0.074722, 0.780000, 0.075277, 0.900000
Bhattacharjee-2001, 0.884522, 0.018055, 0.900404, 0.019139, 0.882500
Shipp-2002-v1, 0.821905, 0.040372, 0.834048, 0.035565, 0.840000
Lapointe-2004-v1, 0.710000, 0.045325, 0.675333, 0.054301, 0.700000
Nutt-2003-v1, 0.640000, 0.052967, 0.625000, 0.065617, 0.640000
Liang-2005, 0.786667, 0.039126, 0.803333, 0.033148, 0.757143
West-2001, 0.850000, 0.040825, 0.832500, 0.048663, 0.633333
Gordon-2002, 0.956286, 0.036229, 0.948286, 0.045888, 0.963889
Singh-2002, 0.861944, 0.024085, 0.866806, 0.027125, 0.845000
Golub-1999-v2, 0.868000, 0.049844, 0.863000, 0.043332, 0.814286
Laiho-2007_database, 0.820000, 0.044997, 0.800000, 0.054433, 0.728571
Golub-1999-v1, 0.910333, 0.034764, 0.924000, 0.028923, 0.921429
Pomeroy-2002-v2, 0.571667, 0.039126, 0.592500, 0.060534, 0.750000
Garber-2001, 0.770333, 0.029667, 0.772000, 0.026952, 0.715385
Tomlins-2006-v2, 0.730357, 0.017837, 0.728036, 0.030282, 0.811111
Lapointe-2004-v2, 0.745139, 0.010357, 0.722917, 0.037286, 0.795455
Dyrskjot-2003, 0.697500, 0.074437, 0.700833, 0.091071, 0.687500
Tomlins-2006-v1, 0.772361, 0.024702, 0.771250, 0.026369, 0.815000
Ramaswamy-2001_database, 0.530208, 0.047559, 0.626750, 0.036219, 0.621053
Risinger-2003, 0.659167, 0.067979, 0.624167, 0.063762, 0.487500
Yeoh-2002-v1, 0.933211, 0.012818, 0.964947, 0.013146, 0.961224
Yeoh-2002-v2, 0.710816, 0.021148, 0.731605, 0.027279, 0.726531
Su-2001, 0.801429, 0.039812, 0.847857, 0.019648, 0.852941
