Data Set, Avg Accuracy,
Alizadeh-2000-v1,0,1
Alizadeh-2000-v2,0,1
Alizadeh-2000-v3,0.06,0.94
Armstrong-2002-v1,0,1
Armstrong-2002-v2,0,1
Bhattacharjee-2001,0.024242,0.975758
Bittner-2000,0.12381,0.87619
Bredel-2005,0.1,0.9
Chen-2002,0.014039,0.985961
Chowdary-2006,0.011765,0.988235
Dyrskjot-2003,0.028571,0.971429
Garber-2001,0.165455,0.834545
Golub-1999-v1,0,1
Golub-1999-v2,0,1
Gordon-2002,0,1
Khan-2001_database,0,1
Laiho-2007_database,0.033333,0.966667
Lapointe-2004-v1,0.251515,0.748485
Lapointe-2004-v2,0.248366,0.751634
Liang-2005,0.066667,0.933333
Nutt-2003-v1,0.2,0.8
Nutt-2003-v2,0.08,0.92
Nutt-2003-v3,0.1,0.9
Pomeroy-2002-v1,0.033333,0.966667
Pomeroy-2002-v2,0.142857,0.857143
Ramaswamy-2001_database,0.296129,0.703871
Risinger-2003,0.142857,0.857143
Shipp-2002-v1,0.048718,0.951282
Singh-2002,0.109559,0.890441
Su-2001,0.092857,0.907143
Tomlins-2006-v1,0.154412,0.845588
Tomlins-2006-v2,0.241905,0.758095
West-2001,0,1
Yeoh-2002-v1,0.005,0.995
Yeoh-2002-v2,0.185513,0.814487
