Data Set, Avg Accuracy, Std. Dev
Alizadeh-2000-v1, 0.500000, 5.000000
Alizadeh-2000-v2, 1.000000, 2.000000
Alizadeh-2000-v3, 0.500000, 3.000000
Armstrong-2002-v1, 0.857143, 4.000000
Armstrong-2002-v2, 0.857143, 4.000000
Bhattacharjee-2001, 0.750000, 1.000000
Bittner-2000, 0.666667, 9.000000
Bredel-2005, 0.600000, 4.000000
Chen-2002, 0.705882, 2.000000
Chowdary-2006, 0.600000, 1.000000
Dyrskjot-2003, 0.750000, 4.000000
Garber-2001, 0.833333, 9.000000
Golub-1999-v1, 0.857143, 6.000000
Golub-1999-v2, 0.571429, 3.000000
Gordon-2002, 0.944444, 15.000000
Khan-2001_database, 0.500000, 4.000000
Laiho-2007_database, 0.666667, 2.000000
Lapointe-2004-v1, 0.833333, 6.000000
Lapointe-2004-v2, 0.545455, 2.000000
Liang-2005, 0.666667, 3.000000
Nutt-2003-v1, 0.600000, 1.000000
Nutt-2003-v2, 0.000000, 2.000000
Nutt-2003-v3, 0.000000, 1.000000
Pomeroy-2002-v1, 1.000000, 2.000000
Pomeroy-2002-v2, 0.500000, 10.000000
Ramaswamy-2001_database, 0.210526, 2.000000
Risinger-2003, 0.500000, 5.000000
Shipp-2002-v1, 0.571429, 2.000000
Singh-2002, 0.900000, 2.000000
Su-2001, 0.117647, 1.000000
Tomlins-2006-v1, 0.400000, 3.000000
Tomlins-2006-v2, 0.555556, 2.000000
West-2001, 0.750000, 1.000000
Yeoh-2002-v1, 0.958333, 177.000000
Yeoh-2002-v2, 0.500000, 8.000000
