Data Set, Avg Accuracy, Std. Dev
Alizadeh-2000-v1, 0.500000, 546.000000
Alizadeh-2000-v2, 1.000000, 1057.000000
Alizadeh-2000-v3, 0.833333, 1075.000000
Armstrong-2002-v1, 1.000000, 556.000000
Armstrong-2002-v2, 0.857143, 1050.000000
Bhattacharjee-2001, 0.950000, 778.000000
Bittner-2000, 1.000000, 1145.000000
Bredel-2005, 0.800000, 857.000000
Chen-2002, 0.941176, 45.000000
Chowdary-2006, 1.000000, 91.000000
Dyrskjot-2003, 0.750000, 603.000000
Garber-2001, 1.000000, 2276.000000
Golub-1999-v1, 0.857143, 927.000000
Golub-1999-v2, 0.857143, 940.000000
Gordon-2002, 0.944444, 798.000000
Khan-2001_database, 1.000000, 541.000000
Laiho-2007_database, 0.333333, 1094.000000
Lapointe-2004-v1, 0.833333, 794.000000
Lapointe-2004-v2, 0.909091, 1242.000000
Liang-2005, 1.000000, 685.000000
Nutt-2003-v1, 0.600000, 693.000000
Nutt-2003-v2, 1.000000, 536.000000
Nutt-2003-v3, 0.500000, 568.000000
Pomeroy-2002-v1, 1.000000, 436.000000
Pomeroy-2002-v2, 0.750000, 683.000000
